From file: IsA_IsK_14Jan2021_sa	Instrument no.:	1320
Ser	Interval (sec)	Integration	Air pressure	Salinity	Chart Datum (dbar)	
3	2		1010.64	
Ser	Meas	Sal.	Temp	F (µg/l)	Opt	Density	Depth(u)	Date	Time		
3	1225	34.491	2.490	0.00	91.90	27.625	21.5019	14/01/2021	13:39:33
3	1226	34.506	2.650	0.00	92.05	27.620	20.6391	14/01/2021	13:39:35
3	1227	34.589	2.285	0.00	91.87	27.713	19.7465	14/01/2021	13:39:37
3	1228	34.536	2.100	0.00	91.91	27.681	18.8639	14/01/2021	13:39:39
3	1229	34.463	1.959	0.00	92.31	27.630	17.9812	14/01/2021	13:39:41
3	1230	34.486	1.909	0.00	92.31	27.649	17.1283	14/01/2021	13:39:43
3	1231	34.513	1.745	0.00	92.02	27.679	16.2655	14/01/2021	13:39:45
3	1232	34.471	1.695	0.00	92.87	27.645	15.3927	14/01/2021	13:39:47
3	1233	34.463	1.658	0.00	93.02	27.637	14.5001	14/01/2021	13:39:49
3	1234	34.468	1.713	0.00	93.13	27.632	13.6075	14/01/2021	13:39:51
3	1235	34.517	1.729	0.00	94.09	27.666	12.7546	14/01/2021	13:39:53
3	1236	34.466	1.628	0.00	94.41	27.629	11.8719	14/01/2021	13:39:55
3	1237	34.469	1.630	0.00	94.85	27.627	11.0091	14/01/2021	13:39:57
3	1238	34.460	1.623	0.00	94.93	27.616	10.1363	14/01/2021	13:39:59
3	1239	34.454	1.611	0.00	95.23	27.608	9.2437	14/01/2021	13:40:01
3	1240	34.438	1.640	0.00	95.77	27.589	8.3610	14/01/2021	13:40:03
3	1241	34.451	1.585	0.00	96.02	27.599	7.4882	14/01/2021	13:40:05
3	1242	34.455	1.571	0.00	96.17	27.600	6.7840	14/01/2021	13:40:07
3	1243	34.458	1.561	0.00	96.20	27.599	5.9906	14/01/2021	13:40:09
3	1244	34.455	1.566	0.00	96.50	27.594	5.3757	14/01/2021	13:40:11
3	1245	34.442	1.604	0.00	96.69	27.577	4.6120	14/01/2021	13:40:13
3	1246	34.456	1.627	0.00	97.32	27.583	3.9276	14/01/2021	13:40:15
3	1247	34.500	1.667	0.10	97.53	27.612	3.0747	14/01/2021	13:40:17
3	1248	34.466	1.715	0.05	97.70	27.577	2.4498	14/01/2021	13:40:19
3	1249	34.454	1.695	0.15	97.75	27.568	2.2911	14/01/2021	13:40:21
3	1250	34.462	1.681	0.03	97.67	27.574	1.8547	14/01/2021	13:40:23
3	1251	34.446	1.650	0.04	97.72	27.563	1.7754	14/01/2021	13:40:25
3	1252	34.467	1.652	0.03	97.67	27.576	0.9522	14/01/2021	13:40:27
3	1253	34.447	1.592	0.03	97.65	27.563	0.6348	14/01/2021	13:40:29


